"Country","Age.mean","EconomicSituation.mean","LivingConditions.mean","Interest.mean","Religion.mean","TaxMorale.mean","TrustPresident.mean","TrustParliament.mean","TrustCourts.mean","CorruptionPresident.mean","CorruptionParliament.mean","CorruptionOfficials.mean","CorruptionCouncilors.mean","CorruptionTax.mean","Gender.mean","AvoidHowOften.mean","TrustTax.mean","SelfEmployedTax.mean","AvoidReason.mean"
"Algeria",38.4559800664452,2.52380952380952,2.45454545454545,2.45882352941176,2.94666666666667,2.08488063660477,1.9487825356843,2.91798695246971,2.97868712702472,3.30561330561331,3.26164519326065,3.17375886524823,3.1487676056338,3.13063477460902,1.49916943521595,3.15589016829052,2.80071174377224,NA,NA
"Benin",38.0815811606392,2.34230445752733,2.21434528773978,2.52210175145955,2.53916666666667,2.51528013582343,2.01169590643275,2.42158516020236,2.50419463087248,2.98168498168498,2.95719489981785,2.90613718411552,2.95442820292347,2.56417359187442,1.5,2.9735401459854,2.66271649954421,1.71621621621622,10.8263829787234
"Botswana",38.7748123436197,2.33769633507853,2.38461538461538,2.74434199497066,2.34001670843776,2.17892824704814,2.13534482758621,2.52539404553415,2.16099356025759,3.34654471544715,3.41170634920635,3.25842696629213,3.39320388349515,3.39549436795995,1.5,2.60687432867884,2.41830065359477,1.60311284046693,10.8443449048152
"Burkina Faso",37.7225969645868,2.15798611111111,1.99,2.40033641715728,2.618410041841,2.14285714285714,2.09391304347826,2.30037313432836,2.17962962962963,2.96236559139785,3.02155172413793,2.9002079002079,2.99513618677043,2.81457663451233,1.5,2.74849699398798,2.44221105527638,1.6280193236715,10.2483285577841
"Burundi",37.18,2.18151260504202,2.21416666666667,2.85738396624473,2.71416666666667,2.21936589545844,1.93305439330544,2.18251928020566,2.47257383966245,3.22426095820591,3.24588477366255,3.17946161515454,3.15123739688359,2.71188026192703,1.5,2.72752293577982,2.56500488758553,1.56896551724138,10.8519179304193
"Cameroon",33.5474576271186,2.39160839160839,2.36669470142977,2.35139712108383,2.52658227848101,2.13291703835861,2.38363636363636,2.64591078066915,2.71064604185623,2.91473684210526,2.90062111801242,2.62893700787402,2.96247464503043,2.28100775193798,1.495,2.74044265593561,2.73231357552581,1.79824561403509,10.4586108468126
"Cap Verde",38.1496259351621,2.4614733276884,2.46711074104913,2.60432252701579,2.34051367025683,2.04257167680278,2.66547725245317,2.81448763250883,2.67603160667252,3.30759330759331,3.40649350649351,3.30352644836272,3.40959409594096,3.39586028460543,1.49254966887417,2.67047817047817,2.89468779123952,1.72770700636943,10.5816857440166
"Cote dIvoire",35.5738255033557,2.24010109519798,2.15692821368948,2.06655433866891,2.58493723849372,1.89886660854403,2.19116397621071,2.42128027681661,2.54206418039896,3.33138401559454,3.388671875,3.3129123468426,3.23934108527132,3.1251193887297,1.5,3.00474383301708,2.52795600366636,1.78693181818182,10.5992578849722
"Egypt",39.0589225589226,2.96362098138748,2.5959595959596,3.04568527918782,2.9051724137931,2.30721830985915,2.64595744680851,2.75483304042179,2.15081405312768,2.74825174825175,2.69653179190751,2.85526315789474,NA,2.9383429672447,1.49663865546218,2.90319634703196,2.80281690140845,NA,NA
"Ghana",37.3088786994581,2.78235294117647,2.61416666666667,2.64548494983278,2.20701168614357,2.55137420718816,2.34749684476231,2.63559679460143,2.55721605465414,3.19765929778934,3.18911917098446,3.12704565030146,3.30935875216638,2.97162810999564,1.5,2.73277012005336,2.64794168096055,1.80627962085308,10.8934613625972
"Guinea",39.5746455379483,2.37248322147651,2.28,2.58723404255319,2.57679465776294,2.39484978540773,2.01790281329923,2.28467153284672,2.43474503025065,2.97373358348968,3.17948717948718,2.99445471349353,3.17798165137615,2.85990783410138,1.5,2.71390134529148,2.51693404634581,1.63329452852154,10.4632867132867
"Kenya",35.8401174989509,3.18006700167504,2.86013400335008,2.59680134680135,2.17120133947258,2.19252498913516,2.39991482112436,2.60467128027682,2.61762152777778,3.17679814385151,2.76354679802956,2.7256913470116,2.73454868830591,2.91742243436754,1.50020842017507,2.78537956888472,2.57068311195446,1.65196416264645,10.7318224740321
"Lesotho",41.9714285714286,2.97283085013146,2.8917089678511,3.09213863060017,2.78889823380992,2.69034090909091,2.06562193927522,2.10678642714571,2.02469135802469,3.15261044176707,3.35286458333333,3.12696629213483,3.24821002386635,3.0966810966811,1.49791144527987,2.78151260504202,2.30208333333333,1.25657894736842,10.9378531073446
"Liberia",36.4234995773457,2.91476793248945,2.82784810126582,2.33991416309013,2.18120237087214,2.07025151777971,1.9431721798134,2.24872665534805,2.39469178082192,2.96694214876033,2.88117001828154,2.74593128390597,2.97655545536519,2.64527956003666,1.49708090075063,2.23439000960615,2.54125998225377,1.55912743972445,10.9161105815062
"Madagascar",38.384744341995,2.18660714285714,2.18493723849372,2.23409669211196,2.69740150880134,2.12169811320755,2.84011627906977,NA,2.88631790744467,3.08695652173913,NA,3.0359820089955,3.21099887766554,2.9346314325452,1.5,2.97585071350165,2.91779141104294,1.46188340807175,10.1614066726781
"Malawi",35.7535061623459,2.33333333333333,2.08802670004172,2.83117425825324,2.38752598752599,2.98500428449015,2.00794763908368,2.07827616534741,1.7917561185058,3.18415417558887,3.19764327798607,3.12020460358056,2.88888888888889,3.08953669963561,1.49979227253843,2.98664122137405,2.15805168986084,1.25684931506849,10.639205955335
"Mali",39.0333889816361,2.35117056856187,2.26772310258549,2.76194467728416,2.65416666666667,2.5397489539749,2.38811188811189,2.342405618964,2.39393939393939,2.60180995475113,2.68800721370604,2.61091234347048,2.72823218997361,2.66636771300448,1.5,2.66523605150215,2.34059233449477,1.85037037037037,9.81645021645022
"Mauritius",43.6391666666667,2.18212197159566,2.18583333333333,2.5906432748538,2.525,2.21890971039182,2.74261603375527,2.97048611111111,2.51154833190761,3.44736842105263,3.56485740570377,3.63901147396293,3.51565377532228,3.52875882946519,1.5,3.15342960288809,2.77015755329008,1.39366515837104,11.3826311263972
"Morocco",36.1120401337793,2.22081218274112,2.38860971524288,2.45900253592561,2.90512820512821,1.88550323176362,2.70844212358573,2.74684684684685,2.68563922942207,NA,3.01038715769594,3.10401459854015,3.01646843549863,3.05940594059406,1.50083612040134,2.80970873786408,2.72735849056604,NA,NA
"Mozambique",33.2474591250552,2.45844269466317,2.3647851727043,2.73751657092355,1.65171835708298,2.57747126436782,1.78895547945205,2.00416088765603,2.01451310861423,3.17782538832351,3.15736040609137,3.15678879310345,2.96477101157524,2.91316526610644,1.50041666666667,2.6695464362851,2.10116337885685,1.60369609856263,10.4829578278452
"Namibia",35.9774058577406,2.65572390572391,2.46812080536913,2.734335839599,2.49075630252101,2.30971843778383,1.90504201680672,2.23493449781659,2.10425716768028,3.26851851851852,3.28424015009381,2.85169124024284,3.27106227106227,3.10094339622642,1.5025,2.52120640904807,2.48322756119674,1.32352941176471,10.9547101449275
"Niger",38.8444816053512,2.27194492254733,2.29539748953975,2.82224094355518,2.74120603015075,2.52117545375972,1.93344857389801,2.04591368227732,1.83463203463203,3.19554204660588,3.13993871297242,3.08452138492872,3.19609756097561,3.11382113821138,1.49958298582152,2.68294849023091,2.22253258845438,1.875226039783,8.86547085201794
"Nigeria",33.2513638271087,2.70859538784067,2.38413098236776,2.78313758389262,2.26616604088444,2.4972539079003,2.68516183270282,2.73141891891892,2.72673684210526,3.00506970849176,2.71784057359764,2.68421052631579,2.57449494949495,2.62209802235598,1.5,3.16130453944469,2.68217734855136,1.67040358744395,9.94874022589053
"Senegal",38.3244147157191,2.2836820083682,2.27689741451209,2.94309623430962,2.40066777963272,2.54300168634064,2.07613344739093,2.30230496453901,2.03989361702128,3.13326551373347,3.20021074815595,3.14708886618999,3.09673913043478,3.13425925925926,1.5,2.78422053231939,2.28368121442125,1.80283911671924,9.86619090098127
"Sierra Leone",36.1526717557252,2.84835720303286,2.76962025316456,2.73220338983051,2.01686340640809,2.37341236240474,2.16340425531915,2.60068551842331,2.73147340889276,3.03886010362694,3.07784431137725,2.86456558773424,2.83560477001704,2.6334208223972,1.49915966386555,2.70970537261698,2.72423398328691,1.68531468531469,11.6121212121212
"South Africa",39.2062685302838,2.46427061310782,2.48849853617733,2.61816652649285,2.30451286377056,2.22793791574279,2.60882352941176,2.77024162780839,2.66222604211431,3.09062912450506,3.03692307692308,2.85615251299827,2.76268980477223,3.18423694779116,1.49979157982493,2.83218072844629,2.50748978665456,1.5663430420712,10.578853046595
"Sudan",33.9308600337268,2.67396798652064,2.49662162162162,2.78723404255319,2.71894832275612,2.07372072853426,2.22808586762075,2.74664107485605,2.47259658580413,2.88500563697858,2.85650224215247,2.82334384858044,2.79427359490986,2.72052845528455,1.50041701417848,2.81578947368421,2.74742750233863,NA,NA
"Swaziland",38.3918128654971,2.45183290707587,2.39732888146912,2.55741827326069,2.27212020033389,2.11274934952298,NA,2.51569126378287,2.27456140350877,2.78202479338843,2.97916666666667,2.752408477842,3.13236929922136,3.11001100110011,1.49916666666667,2.8940329218107,2.54597156398104,1.80513595166163,10.9768477292965
"Tanzania",38.5971643035863,2.67237061769616,2.57387312186978,3.09342270632593,2.14022603599833,2.33862660944206,2.30431142737547,2.36550566512799,2.60142497904443,3.45672436750999,3.42003514938489,3.21226620269682,3.2895652173913,3.00578806767587,1.50083333333333,3.04451300132217,2.80080753701211,1.58951612903226,11.0563014291901
"Togo",34.7051926298157,2.47138047138047,2.22537562604341,2.41595925297114,2.52053646269908,2.26844444444444,2.33710801393728,2.58061594202899,2.59891598915989,2.80472103004292,2.80576307363927,2.6544885177453,2.80385852090032,2.39004149377593,1.5,3.06255924170616,2.69561157796452,1.6954128440367,10.1565135895033
"Tunisia",42.2976391231029,2.78050847457627,2.45218120805369,2.95746455379483,2.97848537005164,2.63157894736842,2.7206020696143,2.78598130841121,2.65137614678899,3.21818181818182,3.18147684605757,3.08060747663551,3.09883720930233,3.22461170848268,1.5,2.71376811594203,2.72626262626263,NA,NA
"Uganda",35.1839563208736,2.71374527112232,2.61150479366403,2.78406708595388,2.42720066750104,2.58548109965636,2.37547730165465,2.39683895771038,2.488074204947,3.00806451612903,3.28339191564148,3.02138804015714,3.21742919389978,2.80760525124491,1.5,2.95026054002842,2.67606263982103,1.33520494104436,11.1664510564899
"Zambia",34.8889816360601,2.19227539882452,2.25606694560669,2.79048414023372,2.14882943143813,2.43856502242152,2.09475465313029,2.33872340425532,2.20641803989592,3.3826164874552,3.32306338028169,3.29082969432314,3.2229020979021,3.28780487804878,1.49833333333333,2.64431486880466,2.35238095238095,1.508078994614,10.4410681399632
"Zimbabwe",38.3720250521921,2.31825795644891,2.33208176887776,2.69461827284105,2.11865828092243,2.25010743446498,2.33133561643836,2.83745123537061,2.60240446543581,3.02513711151737,3.09805653710247,2.86922406277245,3.01388888888889,2.77002827521206,1.5,3.02278120550546,2.73049645390071,1.45509708737864,10.7126637554585
